,poi_id,name,review_count,rating,price,distance,full_address,station_id
12,wZr3xBFhGfYMY-mqwsQuNQ,Redchurch Cafe + Gallery,24.0,4.5,$,927.883474883853,"['68 King Street E', 'Hamilton, ON L8N 1A6', 'Canada']",b933317ff2861c45aacbea4cbf4b541f
13,vqyK2q3zJ74TIT1-7Bf3Tg,La Luna,65.0,4.0,$$,685.094521757303,"['306 King Street W', 'Hamilton, ON L8P 1B1', 'Canada']",b933317ff2861c45aacbea4cbf4b541f
14,hqNHaNUTkM_WpzMdfNBWMA,Synonym,12.0,4.5,,543.418659310019,"['328 James Street N', 'Hamilton, ON L8L 1H2', 'Canada']",b933317ff2861c45aacbea4cbf4b541f
15,F62oIPt7-CwuYHJ6vXp-HQ,Black Forest Inn European Cuisine,54.0,4.0,$$,1284.8717827995845,"['255 King Street E', 'Hamilton, ON L8N 1B9', 'Canada']",b933317ff2861c45aacbea4cbf4b541f
16,Q3urZhGC4If6AGEhzDVqnQ,Green Bar,17.0,4.5,$,448.5235287692835,"['236 James Street N', 'Hamilton, ON L8R 2L2', 'Canada']",b933317ff2861c45aacbea4cbf4b541f
17,PAVNadox4HMXl-xdsjbjhg,Sagarmatha Curry Palace  Authentic Indian & Nepalese Cuisine,41.0,4.0,$$,764.5387203432844,"['43 King William Street', 'Hamilton, ON L8R 1A2', 'Canada']",b933317ff2861c45aacbea4cbf4b541f
18,YGPmtIFExK1InW_zafl4MA,Mesa,57.0,4.0,$$,435.0991366044112,"['255 James Street N', 'Hamilton, ON L8R 2L2', 'Canada']",b933317ff2861c45aacbea4cbf4b541f
19,UjLcwqwsakC1izyU_MOPbQ,Crystal Dynasty Chinese Restaurant,32.0,3.0,$$,134.63389025730868,"['94 Cannon Street W', 'Hamilton, ON L8R 2B6', 'Canada']",b933317ff2861c45aacbea4cbf4b541f
0,9oIPWjU3DvtSdORv6I2toQ,The Ship,209.0,4.0,$$,573.3439193246847,"['23 Augusta Street', 'Hamilton, ON L8N 1P6', 'Canada']",20dc109608315db09a8332d6e6940c75
1,bHecMQ85o3ayw1t9hRA90g,The French,98.0,4.0,$$$,588.9193688858683,"['37 King William Street', 'Hamilton, ON L8R 1A1', 'Canada']",20dc109608315db09a8332d6e6940c75
2,h2mI1wBIK1PyaNupaL58gw,The Mule,179.0,4.0,$$,599.6280119911215,"['41 King William Street', 'Hamilton, ON L8R 1A2', 'Canada']",20dc109608315db09a8332d6e6940c75
3,752Fv2jKafftvoS3Twkqyg,Hambrgr,202.0,4.0,$$,624.3597694948429,"['49 King William Street', 'Hamilton, ON L8R 1A2', 'Canada']",20dc109608315db09a8332d6e6940c75
4,xwVB61hW9rpyp6wALR4Apg,Berkeley North,42.0,4.5,$$$,567.3170618031849,"['31 King William Street', 'Hamilton, ON L8R 1A1', 'Canada']",20dc109608315db09a8332d6e6940c75
5,zldX2jhIDUBJzaEPYiSWUQ,Radius,93.0,3.0,$$$,514.6893854561074,"['151 James Street S', 'Hamilton, ON L8P 2Z5', 'Canada']",20dc109608315db09a8332d6e6940c75
6,wZr3xBFhGfYMY-mqwsQuNQ,Redchurch Cafe + Gallery,24.0,4.5,$,586.4644007855065,"['68 King Street E', 'Hamilton, ON L8N 1A6', 'Canada']",20dc109608315db09a8332d6e6940c75
7,XqZOIEbNX7mdIg1Cwb1RWw,Famous Recipe,9.0,5.0,,218.68607589718698,"['158 King Street W', 'Hamilton, ON L8P 1A6', 'Canada']",20dc109608315db09a8332d6e6940c75
8,EGutBSi1dgdaJoLu-LdsTw,August 8,123.0,4.0,$$,705.7839219960441,"['1 Wilson Street', 'Suite 12', 'Hamilton, ON L8R', 'Canada']",20dc109608315db09a8332d6e6940c75
9,vqyK2q3zJ74TIT1-7Bf3Tg,La Luna,65.0,4.0,$$,487.9598342952772,"['306 King Street W', 'Hamilton, ON L8P 1B1', 'Canada']",20dc109608315db09a8332d6e6940c75
10,CH4A4Aa--t0A7bP1VfkMrA,Charred Chicken,118.0,4.0,$$,985.4165415124763,"['244 James Street N', 'Hamilton, ON L8R 2L2', 'Canada']",20dc109608315db09a8332d6e6940c75
11,uy_vkyImATNvWYzbUCOxyQ,The Burnt Tongue,41.0,4.5,$$,910.562716467272,"['182 Locke Street S', 'Hamilton, ON L8P 4B3', 'Canada']",20dc109608315db09a8332d6e6940c75
12,o_CBe1ZQs6kj-Aet2qmL5A,Planted in Hamilton,37.0,4.5,$$,929.9622282750073,"['211 Locke Street S', 'Hamilton, ON L8P 4B6', 'Canada']",20dc109608315db09a8332d6e6940c75
13,iAxN1bz9JBSG_S1naWHNuw,The Burnt Tongue,89.0,4.0,$,787.1328332008312,"['10 Cannon St E', 'Hamilton, ON L8L 1Z5', 'Canada']",20dc109608315db09a8332d6e6940c75
14,i8nQA6qFkr3TmSCZ1ukbGQ,Electric Diner,17.0,3.5,,379.6948052306955,"['96 George Street', 'Hamilton, ON L8P 3M8', 'Canada']",20dc109608315db09a8332d6e6940c75
15,dxsrhzpSxY9wDGbZxhIjHQ,The Coop,43.0,4.0,$$,409.9582906197975,"['274-274 King Street W', 'Hamilton, ON L8P 1J6', 'Canada']",20dc109608315db09a8332d6e6940c75
16,TxrfCuyQThzsFUlcFqdqSw,Saint James Espresso Bar & Eatery,57.0,4.5,$$,817.3020573011734,"['170 James Street N', 'Hamilton, ON L8R 2L1', 'Canada']",20dc109608315db09a8332d6e6940c75
17,ZgoVlQmApvjWt-0evoeoGQ,Moodys,13.0,4.0,,398.8172343996338,"['107 George Street', 'Hamilton, ON L8P 1E3', 'Canada']",20dc109608315db09a8332d6e6940c75
18,ouKTL8ajZ2BGPRf33xwGWA,Pho Nhung,18.0,4.5,,703.5530820234028,"['85 Queen St N', 'Hamilton, ON L8R 2V5', 'Canada']",20dc109608315db09a8332d6e6940c75
19,PAVNadox4HMXl-xdsjbjhg,Sagarmatha Curry Palace  Authentic Indian & Nepalese Cuisine,41.0,4.0,$$,613.2118791141473,"['43 King William Street', 'Hamilton, ON L8R 1A2', 'Canada']",20dc109608315db09a8332d6e6940c75
0,9oIPWjU3DvtSdORv6I2toQ,The Ship,209.0,4.0,$$,475.0699065621582,"['23 Augusta Street', 'Hamilton, ON L8N 1P6', 'Canada']",a386509756e2c2e15483eaaf344fb412
1,bHecMQ85o3ayw1t9hRA90g,The French,98.0,4.0,$$$,756.9525642438531,"['37 King William Street', 'Hamilton, ON L8R 1A1', 'Canada']",a386509756e2c2e15483eaaf344fb412
2,752Fv2jKafftvoS3Twkqyg,Hambrgr,202.0,4.0,$$,781.9427408135574,"['49 King William Street', 'Hamilton, ON L8R 1A2', 'Canada']",a386509756e2c2e15483eaaf344fb412
3,Q4oLgsU62VPR28pBm0vCXw,Earth To Table : Bread Bar,293.0,4.0,$$,943.5410000594655,"['258 Locke Street S', 'Hamilton, ON L8P 4B9', 'Canada']",a386509756e2c2e15483eaaf344fb412
4,h2mI1wBIK1PyaNupaL58gw,The Mule,179.0,4.0,$$,760.3006299294157,"['41 King William Street', 'Hamilton, ON L8R 1A2', 'Canada']",a386509756e2c2e15483eaaf344fb412
5,zldX2jhIDUBJzaEPYiSWUQ,Radius,93.0,3.0,$$$,404.2840951361999,"['151 James Street S', 'Hamilton, ON L8P 2Z5', 'Canada']",a386509756e2c2e15483eaaf344fb412
6,xwVB61hW9rpyp6wALR4Apg,Berkeley North,42.0,4.5,$$$,738.0331659353692,"['31 King William Street', 'Hamilton, ON L8R 1A1', 'Canada']",a386509756e2c2e15483eaaf344fb412
7,71IHvl03cYIvtEk_vjfjCg,One Duke Tavern,23.0,3.5,$$,368.8832201409205,"['1 Duke Street', 'Hamilton, ON L8P 1W9', 'Canada']",a386509756e2c2e15483eaaf344fb412
8,CH4A4Aa--t0A7bP1VfkMrA,Charred Chicken,118.0,4.0,$$,1230.0627426186877,"['244 James Street N', 'Hamilton, ON L8R 2L2', 'Canada']",a386509756e2c2e15483eaaf344fb412
9,wZr3xBFhGfYMY-mqwsQuNQ,Redchurch Cafe + Gallery,24.0,4.5,$,681.5422257744762,"['68 King Street E', 'Hamilton, ON L8N 1A6', 'Canada']",a386509756e2c2e15483eaaf344fb412
10,EGutBSi1dgdaJoLu-LdsTw,August 8,123.0,4.0,$$,919.67237856712,"['1 Wilson Street', 'Suite 12', 'Hamilton, ON L8R', 'Canada']",a386509756e2c2e15483eaaf344fb412
11,uy_vkyImATNvWYzbUCOxyQ,The Burnt Tongue,41.0,4.5,$$,858.566387643317,"['182 Locke Street S', 'Hamilton, ON L8P 4B3', 'Canada']",a386509756e2c2e15483eaaf344fb412
12,o_CBe1ZQs6kj-Aet2qmL5A,Planted in Hamilton,37.0,4.5,$$,841.4108244131912,"['211 Locke Street S', 'Hamilton, ON L8P 4B6', 'Canada']",a386509756e2c2e15483eaaf344fb412
13,vqyK2q3zJ74TIT1-7Bf3Tg,La Luna,65.0,4.0,$$,670.3268397896815,"['306 King Street W', 'Hamilton, ON L8P 1B1', 'Canada']",a386509756e2c2e15483eaaf344fb412
14,iAxN1bz9JBSG_S1naWHNuw,The Burnt Tongue,89.0,4.0,$,1016.0079265195151,"['10 Cannon St E', 'Hamilton, ON L8L 1Z5', 'Canada']",a386509756e2c2e15483eaaf344fb412
